,prefix,input_text,target_text
13,DART,"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government","Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager."
14,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | subsequentWork | 1969:_The_Velvet_Underground_Live && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | followedBy | 1969:_The_Velvet_Underground_Live,"The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes."
15,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | subsequentWork | 1969:_The_Velvet_Underground_Live && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | followedBy | 1969:_The_Velvet_Underground_Live,"The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live."
16,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | subsequentWork | 1969:_The_Velvet_Underground_Live && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | followedBy | 1969:_The_Velvet_Underground_Live,The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.
17,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time,Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.
18,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time,Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.
19,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time,Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.
20,DART,Olga_Bondareva | deathDate | 1991-12-01 && Olga_Bondareva | deathDate | 1991-12-09 && Olga_Bondareva | deathDate | 1991-12-09,"Olga Bondareva died on December 9, 1991."
21,DART,Olga_Bondareva | deathDate | 1991-12-01 && Olga_Bondareva | deathDate | 1991-12-09 && Olga_Bondareva | deathDate | 1991-12-09,"Olga Bondareva died on the 9th of December, 1991."
22,DART,Olga_Bondareva | deathDate | 1991-12-01 && Olga_Bondareva | deathDate | 1991-12-09 && Olga_Bondareva | deathDate | 1991-12-09,The date of Olga Bondareva's death was the ninth of December 1991.
23,DART,Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0 && Saint_Petersburg | foundingDate | 1703-05-27 && Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0,"Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg."
24,DART,Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0 && Saint_Petersburg | foundingDate | 1703-05-27 && Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0,"Saint Petersburg, where Olga Bondareva died, was founded on the 27th of May, 1703 and has a total area of approximately 1439 km2."
25,DART,Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0 && Saint_Petersburg | foundingDate | 1703-05-27 && Olga_Bondareva | deathPlace | Saint_Petersburg && Saint_Petersburg | areaTotal | 1439.0,"Saint Petersburg, where Olga Bondareva died, was founded on May 27, 1703 and consists of a total area of 1439.0 sq/km."
26,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | populationDensity | 1603.87 && Ciudad_Ayala | populationDensity | 1604.0,The population density of Ciudad Ayala is 1604.0.
27,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | populationDensity | 1603.87 && Ciudad_Ayala | populationDensity | 1604.0,Ciudad Ayala city has a population density of 1604.0.
28,DART,Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | populationDensity | 1603.87 && Ciudad_Ayala | populationDensity | 1604.0,The population density in Ciudad Ayala is 1604.
29,DART,Piotr_Hallmann | birthDate | 1987-01-01 && Piotr_Hallmann | birthDate | 1987-08-25 && Piotr_Hallmann | birthDate | 1987-08-25,"Piotr Hallmann was born on August 25, 1987."
30,DART,Piotr_Hallmann | birthDate | 1987-01-01 && Piotr_Hallmann | birthDate | 1987-08-25 && Piotr_Hallmann | birthDate | 1987-08-25,Piotr Hallmann's birthday is August 25th 1987.
31,DART,Piotr_Hallmann | birthDate | 1987-01-01 && Piotr_Hallmann | birthDate | 1987-08-25 && Piotr_Hallmann | birthDate | 1987-08-25,Piotr Hallmann was born on the 25th of August 1987.
32,DART,Darlington | areaCode | 01325 && Darlington | areaCode | 01325,The Darlington town has an area code of 01325.
33,DART,Darlington | areaCode | 01325 && Darlington | areaCode | 01325,The telephone area code for Darlington is 01325.
34,DART,Darlington | areaCode | 01325 && Darlington | areaCode | 01325,The area code in Darlington is 01325.
35,DART,"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania","Pennsylvania's Franklin County is found to the west of Adams County, Pennsylvania and Pennsylvania's Cumberland County is to the north. A monument to the 11th Mississippi Infantry was erected in Adams County in the year 2000 in the municipality of Gettysburg and this monument is categorised as a contributing property."
36,DART,"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania","The 11th Mississippi Infantry Monument, a Contributing property established in the year 2000 in Adams County, Pennsylvania falls in the municipality of Gettysburg, Pennsylvania. Adams County Pennsylvania is East of Franklin County, Pennsylvania and has Cumberland County, Pennsylvania to its north."
37,DART,Israel | officialLanguage | Modern_Hebrew && Israel | officialLanguage | Modern_Hebrew,The official language of Israel is modern Hebrew.
38,DART,Israel | officialLanguage | Modern_Hebrew && Israel | officialLanguage | Modern_Hebrew,Israel’s official language is Modern Hebrew.
39,DART,Israel | officialLanguage | Modern_Hebrew && Israel | officialLanguage | Modern_Hebrew,Modern Hebrew is the official language of Israel.
40,DART,"Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | elevation | ""609.6""^^xsd:double && Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0",ENAIRE is the operating organisation for Adolfo Suarez Madrid-Barajas airport. This airport is situated 610 meters above sea level in Alcobendas.
41,DART,GMA_New_Media | foundingYear | 2000-01-01 && GMA_New_Media | product | Mobile_Applications && GMA_New_Media | foundingDate | 2000-01-01 && GMA_New_Media | product | Mobile_Applications,"GMA New Media, a company founded on 01-01-2000 are manufacturers of mobile applications."
42,DART,GMA_New_Media | foundingYear | 2000-01-01 && GMA_New_Media | product | Mobile_Applications && GMA_New_Media | foundingDate | 2000-01-01 && GMA_New_Media | product | Mobile_Applications,"GMA New Media, which was founded on January 1, 2000, is a company that offers products such as mobile applications."
43,DART,GMA_New_Media | foundingYear | 2000-01-01 && GMA_New_Media | product | Mobile_Applications && GMA_New_Media | foundingDate | 2000-01-01 && GMA_New_Media | product | Mobile_Applications,GMA New Media makes mobile apps and was founded on 01/01/2000.
44,DART,Hypermarcas | industry | Pharmaceuticals && Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals,"Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. Brazil is 8514837.14 square kilometers in size."
45,DART,Hypermarcas | industry | Pharmaceuticals && Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals,"Hypermarcas, a pharmaceutical company, is located in Sao Paulo within the 8514837.14 square kilometres that make up the country of Brazil."
46,DART,Hypermarcas | industry | Pharmaceuticals && Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals,"Hypermarcas, a company in the pharmaceuticals industry, is located in Sao Paulo, Brazil, a country with a total area of 8514837.14 square kilometres."
47,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | previousWork | Andy_Warhol's_Velvet_Underground_Featuring_Nico && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | precededBy | Andy_Warhol's_Velvet_Underground_Featuring_Nico,"The Quine Tapes are Rock music genre preceded by the album Squeeze, and Squeeze was preceded by the album Andy Warhol's Velvet Underground Featuring Nico."
48,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | previousWork | Andy_Warhol's_Velvet_Underground_Featuring_Nico && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | precededBy | Andy_Warhol's_Velvet_Underground_Featuring_Nico,"Bootleg Series Volume 1: The Quine Tapes's genre is rock, and is preceded by the Velvet Underground album Squeeze, which was preceded by the compilation album Andy Warhol's Velvet Underground Featuring Nico."
49,DART,Bootleg_Series_Volume_1:_The_Quine_Tapes | previousWork | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | previousWork | Andy_Warhol's_Velvet_Underground_Featuring_Nico && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album) && Squeeze_(The_Velvet_Underground_album) | precededBy | Andy_Warhol's_Velvet_Underground_Featuring_Nico,"The album Bootleg Series Volume 1: The Quine Tapes fits into the Rock music genre and was preceded by Squeeze by The Velvet Underground, which in turn was preceded by Andy Warhol's Velvet Underground Featuring Nico."
50,DART,"Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""","Dr. G. P. Prabhukumar is the director of the Acharya Institute of Technology which is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090 in India and is affiliated with Visvesvaraya Technological University."
51,DART,"Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""","The Acharya Institute of Technology campus is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. Its director is Dr.G.P. Prabhukumar and it is affiliated to Visvesvaraya Technological University."
52,DART,"Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""","The campus of the Acharya Institute of Technology is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India and it is affiliated with the Visvesvaraya Technological University. Its director is Dr.G.P.Prabhukumar."
53,DART,Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans && Abraham_A._Ribicoff | deathPlace | United_States && Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans,Abraham A. Ribicoff was born and died in the United States where African Americans are an ethnic group.
54,DART,Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans && Abraham_A._Ribicoff | deathPlace | United_States && Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans,Abraham A.Ribicoff died in the United States. It was also his birthplace. African Americans are an ethnic group in the U.S.A.
55,DART,Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans && Abraham_A._Ribicoff | deathPlace | United_States && Abraham_A._Ribicoff | birthPlace | United_States && United_States | ethnicGroup | African_Americans,Abraham A Ribicoff was born and died in the United States where African Americans are an ethnic group.
56,DART,"Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05 && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records","Music group the Velvet Underground produced and released rock music album Bootleg Series Volume 1: The Quine Tapes under the Polydor Records record label. The album was recorded in St. Louis, Missouri, USA and has a run time of 230:05."
57,DART,"Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05 && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records","Bootleg Series Volume 1: The Quine Tapes created and produced by The Velvet Underground with runtime of 230.05 minutes was recorded in was St. Louis Missouri, United States. The Rock genre album was recorded through Polydor Records."
58,DART,"Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05 && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri && Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music && Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records","The Bootleg Series Volume I: The Quine Tapes created and produced by The Velvet Underground with runtime of 230.05 minutes was recorded in St. Louis, Missouri, United States. The Rock music genre album was released by the record label Polydor Records."
59,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre),The fellowship of the Ring belongs to the fantasy genre.George Allen & Unwin published it.
60,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre),The Fellowship of the Ring was published in the Fantasy genre by George Allen & Unwin.
61,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre),"The Fellowship of the Ring, from the fantasy genre, was published by George Allen & Unwin."
62,DART,Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | awards | Distinguished_Service_Medal_(United_States_Navy) && Alan_Shepard | deathPlace | California && Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | award | Distinguished_Service_Medal_(United_States_Navy),Distinguished Service Medal (US Navy) recipient Alan Shepard was born in New Hampshire but died in California.
63,DART,Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | awards | Distinguished_Service_Medal_(United_States_Navy) && Alan_Shepard | deathPlace | California && Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | award | Distinguished_Service_Medal_(United_States_Navy),"Awarded the Distinguished Service Medal by The United States Navy, Alan Shepard, was born in New Hampshire, and died in California."
64,DART,Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | awards | Distinguished_Service_Medal_(United_States_Navy) && Alan_Shepard | deathPlace | California && Alan_Shepard | birthPlace | New_Hampshire && Alan_Shepard | award | Distinguished_Service_Medal_(United_States_Navy),"Alan Shepard, born in New Hampshire while having died in California, was awarded the Distinguished Service Medal by the United States Navy."
65,DART,Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album) && Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song) && Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album),"Imagine is a song that Train followed Mermaid with, which was a song produced by the production team Espionage, and was on their album California 37."
66,DART,Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album) && Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song) && Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album),"Train followed its song Mermaid, from its California 37 album, which was was produced by the production team Espionage, with a song titled Imagine."
67,DART,Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album) && Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song) && Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album),"From the production team Espionage, Train's song Mermaid (on the California 37 album) was followed by Train's performance of Imagine by John Lennon."
68,DART,Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album) && Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song) && Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album),"The Train song Mermaid, which belongs to the California 37 Train album and was produced by Espionage, is followed by the John Lennon song Imagine."
69,DART,Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album) && Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song) && Mermaid_(Train_song) | producer | Espionage_(production_team) && Mermaid_(Train_song) | album | California_37_(Train_album),"Train's song Imagine came after a song from their California 37 album, titled Mermaid, which was produced by the production team Espionage."
70,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | followedBy | The_Two_Towers && The_Fellowship_of_the_Ring | author | J._R._R._Tolkien && The_Fellowship_of_the_Ring | releaseDate | 1954-07-29,"The Fellowship of the Ring was written by J.R.R. Tolkien and was released on July 29, 1954. The Fellowship of the Ring is considered fantasy and was published by George Allen & Unwin. The sequel to The Fellowship of the Ring was The Two Towers."
71,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | followedBy | The_Two_Towers && The_Fellowship_of_the_Ring | author | J._R._R._Tolkien && The_Fellowship_of_the_Ring | releaseDate | 1954-07-29,"J.R.R. Tolkien is the author of The Fellowship of the Ring released on July 29, 1954. It is a fantasy book published by George Allen & Unwin. The novel was followed by The Two Towers."
72,DART,The_Fellowship_of_the_Ring | publisher | George_Allen_&_Unwin && The_Fellowship_of_the_Ring | literaryGenre | Fantasy_(genre) && The_Fellowship_of_the_Ring | followedBy | The_Two_Towers && The_Fellowship_of_the_Ring | author | J._R._R._Tolkien && The_Fellowship_of_the_Ring | releaseDate | 1954-07-29,"The Fellowship of the Ring belongs to the fantasy genre. Its author is J.R.R. Tolkien. It was published on July 29, 1954 by George Allen & Unwin. It was followed by The Two Towers."
73,DART,GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment && GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment,GMA New Media lies in the Philippines where applications are offered in the entertainment industry.
74,DART,GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment && GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment,"Located in the Philippines, GMA New Media is an entertainment industry."
75,DART,GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment && GMA_New_Media | location | Philippines && GMA_New_Media | industry | Entertainment,GMA New Media is an entertainment company located in the Philippines.
76,DART,English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0 && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0,"English Without Tears, written by Terence Rattigan, runs 89 minutes. The cinematography for the film was done by Bernard Knowles."
77,DART,English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0 && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0,"English Without Tears, an 89 minute film written by Terence Rattigan, features the cinematography of Bernard Knowles."
